srh.dll,Benign,-
xblauthmanagerproxy.dll,Benign,-
taskflowdataengine.dll,Benign,-
IntelCpHDCPSvc.exe,Benign,-
windows.ui.appdefaults.dll,Benign,-
Microsoft.PowerShell.Editor.dll,Benign,-
windows.internal.management.dll,Benign,-
transform,Benign,-
90546c95367029e9e224e0233709b39f12ef2ae7f82a5c1411ab0e406d3a2dc1,Malware,adware
8d9464b995f78258a8befbfe9bef206bdee142a86d0ea1bf882fdd09af1b66d8,Malware,adware
atimpc64.dll,Benign,-
97edabceaca890db19fd5f97c80b34366d8cefb29484ec58af36647fd314ac4d,Malware,trojan
92d5c2030b6753a1e69ffb603fe62482d0b7f3f1e050af5852241c7d08b8295d,Malware,trojan
bootctl,Benign,-
92db19915878bbd2b35cf334b65797f46d5e28872be6baec2208993cdb3bd032,Malware,adware
9e5d98a8a2525445d1673b651c6bc8661b3f69e5f248f29c7654beb5dd03b308,Malware,trojan
msvfw32.dll,Benign,-
grub-mkstandalone,Benign,-
sessreg,Benign,-
Microsoft.Office.Tools.Word.ni.dll,Benign,-
9051268ea1dc97f06cd9e1de0441f5ee555ad7135fa51f53b065dbb77fc9c136,Malware,trojan
rasphone.exe,Benign,-
8d9afc8a2dfa759d168b0461b4102a23d8bb9197f7effc612f5262a0c6398be9,Malware,trojan
9e545aa0279a80b28f515ebb36c613a59874451e7929746f835a508ee2fc9153,Malware,adware
9825bd4b93ef5806aa1f4fecd9ec098c6c1bac3cd538396e06b21b2b65ba64e2,Malware,trojan
92d067bab903a63186a54acadd18d268ee81ec756f7c950b92c46b61a148f778,Malware,trojan
905fca759ab0496c2104a2085154e47a98de3a80ef912dafd029a62393958a03,Malware,trojan
8d930345b569b3e23a07dfa89fb935741904e7029e6a7051860dd7991b3dcb39,Malware,worm
97e427b0ca1fbdf138780ddc1d122b20f0b46cb82a5cb418b7e92ae1d95e89f2,Malware,adware
updatepolicy.dll,Benign,-
97e947a62e51af4a75640c3b7fdd65020431043b9d3d9bf9ee95d448b32e80b7,Malware,trojan
windows.ui.xaml.inkcontrols.dll,Benign,-
witnesswmiv2provider.dll,Benign,-
97e8030d1f3c48f07826c9a7a328f3eaf15295050817f624023accc8e9a9b85d,Malware,trojan
9e5542840c3617c76e86293b871e3bcc1ce386936cbcdf04e3e11e94f3ed3d58,Malware,trojan
dnsclientpsprovider.dll,Benign,-
9e51734b578360a01b2d1d1bb6189b9e1cc5c087449ec352ec7e39e6a9899b06,Malware,downware
92d141d1d18113d54a5fd0b11b10d8b04516df5b9c161b56de2de67d45669dc0,Malware,trojan
System.ServiceModel.Web.ni.dll,Benign,-
Microsoft.Windows.ApplicationServer.Applications.dll,Benign,-
wmiprov.dll,Benign,-
9e550a56ff8b02e7f5e9fc2f4519948e7dc8ec9fd0b3905cff7ce9615dfec39d,Malware,trojan
vmvpci.dll,Benign,-
xmlprovi.dll,Benign,-
9e50311b36b6215a54418d3834483f8ac91f6c1f23800b0d003f269b699a90de,Malware,trojan
ComputerDefaults.exe,Benign,-
97e399e5846a50b44b951d23652f2531edfd9b1633f840fdc9fd35947857b28c,Malware,trojan
imkrotip.dll,Benign,-
PenIMC2_v0400.dll,Benign,-
winrnr.dll,Benign,-
97effb62c0b28dec1ce0847faa95343178c8ad9d77ae0156657960660a27a40e,Malware,
8d9c57069e4c5dfbdd0edb4ee0a10010e31527bde3d3a5b0112dd18d44e98abf,Malware,trojan
wbemsvc.dll,Benign,-
9e528b7258ebd174ab251b9cdfe8f414dd427ffe8985da4ada79bcf5c02da911,Malware,trojan
97e88add0a41e4fd8d1f17f6edb274601dffd41b1b3a357c5376bbc6fe8a76af,Malware,adware
9e5bee4a7236ddba236e647bf8bbc7a9aad5852f8b5417b1e5210dff02cbcfed,Malware,adware
92d87ef539d50bade8cd498f16e14d7b6cf4c5d215f67dc29175ce2aae901f58,Malware,trojan
