,name,Label
0,IPELoggingDictationHelper.dll,Benign
1,msguniq,Benign
2,implatsetup.dll,Benign
3,9e56324f729c0163497702eaf6140377fae2da2c6b22f78e5f57b0eff053f815,Malware
4,Microsoft.Dism.Powershell.Resources.dll,Benign
5,9e5b53c41945dfeece198c12c6388aee52e022ab31290bae53da025349c81c7a,Malware
6,91e7f13e7148cee715fe1570a619d949f156ec020a58116cd607c266862b0444,Malware
7,securityhealthagent.dll,Benign
8,Microsoft.Windows.Diagnosis.Commands.UpdateDiagRootcause.ni.dll,Benign
9,9e5b9d13eac80db5092ac6bebfc7bfa03832ce696d00e36ddcac022b12f76a53,Malware
10,IMJPCD.DLL,Benign
11,slwga.dll,Benign
12,System.Net.Primitives.dll,Benign
13,9e5331716de5c1b021f96cdda8ab7f1ec690a68939c32a55b500a165e572aa7f,Malware
14,92d789c8e8457e786bcc3ac3f67c4196a088d7dfd1ddbcfa4de7c7acdef9ae55,Malware
15,ccme_base_non_fips.dll,Benign
16,9e5fc367e4d0d311e36988abfc937832210ba1e39742ad78520ebd103ade14f2,Malware
17,8ab143b11cc0bc36a629426304145f4f905bc1ac20336ace0ddfc7bc5ab43e69,Malware
18,mciqtz32.dll,Benign
19,8a9bcda5afe4937fce72d114904cb4ffcffae681b103ff0231873259f3d875c0,Malware
20,95b9d35aacc5d612fb02cb38f9f1e4a22a169dafed5e28a017a4c0b764773784,Malware
21,oddbse32.dll,Benign
22,8ab88127310f1e4f5e366137f75fe80a8c31d24373e67ae5e0a47a9b43e975d6,Malware
23,resetengonline.dll,Benign
24,8ab822472c878110ddfe003c78232199d37b5064a3390e2e5671b090da279852,Malware
25,9e585d1ad7d5ba1069cf1dd0c8113a07da2d356d4ad09fa5aa7de6dbc06aa99a,Malware
26,8a9e24f6a638f028ff3ada542cd690238c5f50a9d7ebe3666f66f55be8d37121,Malware
27,shgina.dll,Benign
28,Microsoft.VisualStudio.Tools.Applications.ServerDocument.v9.0.resources.dll,Benign
29,92d42529ddbad56c3301d77c2066cb9b34866789124824b534f9e6a47e6510fa,Malware
30,9e5cdcc23aac4332a2644371c434c2ce3785385fd2e0ab2e529db8a392776f3e,Malware
31,83fd75d3745375af78a369ed94ae79b8938bba656f0c018a24f4e4f045aef2e0,Malware
32,92d94a2fa6325655c647029deef46d4f129c809f9fe73c6ac4399ba36667d7e8,Malware
33,9e5aeed820318f2c5640560958cd31d23999e987b8f8cee1e3d4b646ade10d1f,Malware
34,9e598626fd55d0e86509992ee2637e9865ec06037b9e187bd48ebf1eb6e32a7b,Malware
35,92d0dd5dc63e5c3e04c5135b23803d612bc9088751fd1ca06ab1d684786abede,Malware
36,9e5869215e7a9353401667fad8f0c07e71937738b682f44b2de3d2bf7934786b,Malware
37,rdpidd.dll,Benign
38,ChsIFEComp.dll,Benign
39,resolvectl,Benign
40,9e5db8c72435b7f01f9c07cd808b69c48ff4175cf7101bc68f4e0a2f553064ad,Malware
41,8d9aa0d08f41d266ae336b5918014492333222dcf571a391aedec54aaac9e741,Malware
42,8ab315d0f6797ef51ee2e02f48b975ce06bafddeae70813bfb998ce9b44d6226,Malware
43,Microsoft.WSMan.Management.Activities.dll,Benign
44,95bf1e53796429f04dbc9d631e9c4009a11c5c7f08e045d136a460019b39b093,Malware
45,Microsoft.PowerShell.Management.Activities.ni - Copy.dll,Benign
46,ip,Benign
47,9e5e9304ec64776915049308c9476babd1556bc7bfdea09c0a71cfec27981094,Malware
48,btmgmt,Benign
49,frprov.dll,Benign
50,Policy.14.0.Microsoft.Vbe.Interop.dll,Benign
51,igd12dxva64.dll,Benign
52,83fb150e1184a103f0326a3fd61a83a8a5ea2479a1f250dc9cbe0e393a915d9b,Malware
53,9e5b4671b05a063730b4640cc3e5e78cf284254e469dca34f0eb2bfa1bdf942c,Malware
54,9e5a37cf751f17553357bc83893bdd773212c389a29cda7e431cf1b16fc69334,Malware
55,91e66ac77a4a6d19f016c226dda5cc9c3b83282f65e1f5189f515caf395ed9ba,Malware
56,8a995d00926a44b5a2eb063badbe70aa980a0562cff196c4132d32d3acafb05d,Malware
57,9e5dda78717fba5121e0d8c5a316e3ce3500bb098e7428b508430b1b5b069c02,Malware
58,sha384sum,Benign
59,System.ComponentModel.Primitives.dll,Benign
60,dpkg-query,Benign
61,95b4c86c6b30432f0eb467b767c6f4629fcb98a99a1e154211174058dfa28b44,Malware
